test_month,feature_set,model_smape,da_smape,improvement,best_alpha,best_clip
2026-02,minimal,27.868697431041582,27.868697431041582,0.0,0.2,0
2026-03,minimal,19.58857468033673,19.58857468033673,0.0,0.0,0
2026-04,minimal,15.431402379529608,15.431402379529608,0.0,0.2,0
2026-05,minimal,16.58416832086674,16.58416832086674,0.0,0.2,0
