epoch,train_loss,train_smape,train_delta_mae,train_residual_mae,train_smoothness,val_smape_floor50,val_delta_mae,val_rt_mae,lr,epoch_time_s
1,44.033360163370766,19.989559809366863,65.69484678904216,65.69813442230225,0.01386086301257213,31.19680404663086,100.11542510986328,100.10336303710938,0.0009938503261272714,2.0
2,44.33284123738607,20.17419894536336,66.02083778381348,66.01955191294353,0.03873988396177689,31.178606033325195,99.99150085449219,99.99261474609375,0.0009755527298894295,1.9
3,44.306602795918785,20.110459486643474,66.05104033152263,66.04995505015056,0.038122714341928564,31.183162689208984,100.02559661865234,100.02922821044922,0.0009455577588320899,1.9
4,44.28026453653971,20.162757396697998,65.93477725982666,65.93452707926433,0.06537223948786657,31.167890548706055,99.94525909423828,99.94243621826172,0.0009046039886902865,2.0
5,44.46605269114176,20.21225420633952,66.21389198303223,66.21072896321614,0.07248601441582044,31.184490203857422,100.0454330444336,100.04352569580078,0.0008536998372026806,2.2
6,44.519913037618004,20.18819538752238,66.4128475189209,66.40665245056152,0.06456851772964001,31.21221923828125,100.16976928710938,100.1762466430664,0.0007940987335200905,2.3
7,44.16400273640951,20.115242163340252,65.82033665974934,65.81212615966797,0.077860822280248,31.19068717956543,100.05364227294922,100.05181121826172,0.0007272682546199038,2.1
8,44.35992018381754,20.16184377670288,66.11992581685384,66.10521221160889,0.10879725652436416,31.188993453979492,100.0553970336914,100.05665588378906,0.0006548539886902865,2.0
9,43.89680735270182,19.911707560221355,65.38271204630534,65.36295223236084,0.13285470505555472,31.24932098388672,100.30341339111328,100.34009552001953,0.0005786390152875956,2.0
