feature,negative_importance,deep_negative_importance,relative_down_importance,mean_importance
da_anchor,0.1488243508991934,0.00044460911448687137,0.016792544247157103,0.05535383475361246
previous_day_price_delta_std,0.006862940690284147,0.00025080514150537246,0.008681277966198376,0.005265007932662632
month_cos,0.00544931171089007,0.002280046740958186,0.006800239404907838,0.004843199285585365
previous_day_price_delta_mean,0.005546213697380775,-7.410151908116003e-05,0.007997263943910916,0.004489792040736844
hour_cos,0.003648074785533084,0.0014250292130988163,0.006344230056716205,0.0038057780184493684
hour_sin,0.007233448285689836,0.0009633197480548361,0.003112263801407966,0.0037696772783842127
month_sin,0.003026762048621978,0.00023940490780058888,0.005289708439023011,0.002851958465148526
