approach,alpha,clip,model_smape,da_smape,improvement
higher_alpha,0.2,0,25.889174946584326,27.868697431041582,1.9795224844572559
higher_alpha,0.2,50,27.266867317314013,27.868697431041582,0.6018301137275692
higher_alpha,0.2,100,26.757058943879052,27.868697431041582,1.11163848716253
higher_alpha,0.2,200,26.12234241950197,27.868697431041582,1.7463550115396131
higher_alpha,0.3,0,24.993597006600478,27.868697431041582,2.8751004244411043
higher_alpha,0.3,50,26.96193800402226,27.868697431041582,0.9067594270193204
higher_alpha,0.3,100,26.286136411883465,27.868697431041582,1.582561019158117
higher_alpha,0.3,200,25.349489930719955,27.868697431041582,2.5192075003216274
higher_alpha,0.5,0,23.171320582262254,27.868697431041582,4.697376848779328
higher_alpha,0.5,50,26.43050448627712,27.868697431041582,1.438192944764463
higher_alpha,0.5,100,25.38207262397028,27.868697431041582,2.4866248070713013
higher_alpha,0.5,200,23.786804617418973,27.868697431041582,4.081892813622609
higher_alpha,1.0,0,19.231867888892907,27.868697431041582,8.636829542148675
higher_alpha,1.0,50,25.441092837195818,27.868697431041582,2.427604593845764
higher_alpha,1.0,100,23.346437440704303,27.868697431041582,4.522259990337279
higher_alpha,1.0,200,20.359526983549106,27.868697431041582,7.509170447492476
higher_alpha,2.0,0,25.014894514300934,27.868697431041582,2.853802916740648
higher_alpha,2.0,50,23.436007080929205,27.868697431041582,4.432690350112377
higher_alpha,2.0,100,21.400954169690404,27.868697431041582,6.467743261351178
higher_alpha,2.0,200,26.187970014498507,27.868697431041582,1.6807274165430748
bucket_alpha_1,"{'bucket_0': 0.2, 'bucket_1': 0.5, 'bucket_2': 1.0, 'bucket_3': 0.2}",bucket_specific,24.633133680831317,27.868697431041582,3.2355637502102645
bucket_alpha_2,"{'bucket_0': 0.2, 'bucket_1': 1.0, 'bucket_2': 2.0, 'bucket_3': 0.5}",bucket_specific,23.098162364694844,27.868697431041582,4.7705350663467385
bucket_alpha_3,"{'bucket_0': 0.1, 'bucket_1': 0.3, 'bucket_2': 0.5, 'bucket_3': 0.1}",bucket_specific,26.12082806029532,27.868697431041582,1.7478693707462618
