direction,threshold,precision,recall,f1,support,alert_rate
upward,0.05,0.2577777777777778,0.6823529411764706,0.3741935483870968,85,0.33482142857142855
upward,0.1,0.2616822429906542,0.32941176470588235,0.29166666666666663,85,0.15922619047619047
upward,0.15,0.23076923076923078,0.17647058823529413,0.20000000000000004,85,0.09672619047619048
upward,0.2,0.27906976744186046,0.1411764705882353,0.1875,85,0.06398809523809523
upward,0.25,0.25925925925925924,0.08235294117647059,0.125,85,0.04017857142857143
upward,0.3,0.3,0.07058823529411765,0.11428571428571428,85,0.02976190476190476
upward,0.35,0.3333333333333333,0.07058823529411765,0.11650485436893203,85,0.026785714285714284
upward,0.4,0.35714285714285715,0.058823529411764705,0.10101010101010101,85,0.020833333333333332
upward,0.45,0.45454545454545453,0.058823529411764705,0.10416666666666667,85,0.01636904761904762
upward,0.5,0.2857142857142857,0.023529411764705882,0.043478260869565216,85,0.010416666666666666
upward,0.55,0.4,0.023529411764705882,0.044444444444444446,85,0.00744047619047619
upward,0.6,0.5,0.023529411764705882,0.0449438202247191,85,0.005952380952380952
upward,0.65,0.5,0.011764705882352941,0.02298850574712644,85,0.002976190476190476
upward,0.7,0.5,0.011764705882352941,0.02298850574712644,85,0.002976190476190476
upward,0.75,0.0,0.0,0.0,85,0.0
upward,0.8,0.0,0.0,0.0,85,0.0
upward,0.85,0.0,0.0,0.0,85,0.0
upward,0.9,0.0,0.0,0.0,85,0.0
upward,0.95,0.0,0.0,0.0,85,0.0
downward,0.05,0.296969696969697,0.9423076923076923,0.4516129032258064,104,0.49107142857142855
downward,0.1,0.3193916349809886,0.8076923076923077,0.4577656675749319,104,0.3913690476190476
downward,0.15,0.33783783783783783,0.7211538461538461,0.4601226993865031,104,0.33035714285714285
downward,0.2,0.34196891191709844,0.6346153846153846,0.4444444444444444,104,0.28720238095238093
downward,0.25,0.38181818181818183,0.6057692307692307,0.4684014869888476,104,0.24553571428571427
downward,0.3,0.4117647058823529,0.5384615384615384,0.4666666666666667,104,0.20238095238095238
downward,0.35,0.40540540540540543,0.4326923076923077,0.41860465116279066,104,0.16517857142857142
downward,0.4,0.43209876543209874,0.33653846153846156,0.3783783783783784,104,0.12053571428571429
downward,0.45,0.38596491228070173,0.21153846153846154,0.27329192546583847,104,0.08482142857142858
downward,0.5,0.4090909090909091,0.17307692307692307,0.24324324324324326,104,0.06547619047619048
downward,0.55,0.3783783783783784,0.1346153846153846,0.19858156028368795,104,0.05505952380952381
downward,0.6,0.35714285714285715,0.09615384615384616,0.15151515151515152,104,0.041666666666666664
downward,0.65,0.2857142857142857,0.057692307692307696,0.096,104,0.03125
downward,0.7,0.36363636363636365,0.038461538461538464,0.06956521739130436,104,0.01636904761904762
downward,0.75,0.4,0.038461538461538464,0.07017543859649124,104,0.01488095238095238
downward,0.8,0.375,0.028846153846153848,0.05357142857142857,104,0.011904761904761904
downward,0.85,0.5,0.028846153846153848,0.05454545454545455,104,0.008928571428571428
downward,0.9,0.3333333333333333,0.009615384615384616,0.018691588785046728,104,0.004464285714285714
downward,0.95,0.0,0.0,0.0,104,0.001488095238095238
large_abs,0.05,0.2675324675324675,0.8879310344827587,0.4111776447105788,116,0.5729166666666666
large_abs,0.1,0.3333333333333333,0.7672413793103449,0.464751958224543,116,0.39732142857142855
large_abs,0.15,0.37623762376237624,0.6551724137931034,0.47798742138364775,116,0.3005952380952381
large_abs,0.2,0.42857142857142855,0.5689655172413793,0.48888888888888893,116,0.22916666666666666
large_abs,0.25,0.49557522123893805,0.4827586206896552,0.48908296943231444,116,0.16815476190476192
large_abs,0.3,0.5116279069767442,0.3793103448275862,0.43564356435643564,116,0.12797619047619047
large_abs,0.35,0.5352112676056338,0.3275862068965517,0.40641711229946526,116,0.1056547619047619
large_abs,0.4,0.5333333333333333,0.27586206896551724,0.36363636363636365,116,0.08928571428571429
large_abs,0.45,0.5957446808510638,0.2413793103448276,0.34355828220858897,116,0.06994047619047619
large_abs,0.5,0.5526315789473685,0.1810344827586207,0.27272727272727276,116,0.05654761904761905
large_abs,0.55,0.6129032258064516,0.16379310344827586,0.2585034013605442,116,0.046130952380952384
large_abs,0.6,0.6818181818181818,0.12931034482758622,0.2173913043478261,116,0.03273809523809524
large_abs,0.65,0.7272727272727273,0.06896551724137931,0.12598425196850394,116,0.01636904761904762
large_abs,0.7,0.75,0.05172413793103448,0.0967741935483871,116,0.011904761904761904
large_abs,0.75,0.6666666666666666,0.017241379310344827,0.03361344537815126,116,0.004464285714285714
large_abs,0.8,0.5,0.008620689655172414,0.01694915254237288,116,0.002976190476190476
large_abs,0.85,0.0,0.0,0.0,116,0.0
large_abs,0.9,0.0,0.0,0.0,116,0.0
large_abs,0.95,0.0,0.0,0.0,116,0.0
