approach,alpha,clip,model_smape,da_smape,improvement
bucket_as_feature,0.0,0,15.427895219397017,15.427895219397017,0.0
bucket_as_feature,0.0,10,15.427895219397017,15.427895219397017,0.0
bucket_as_feature,0.0,20,15.427895219397017,15.427895219397017,0.0
bucket_as_feature,0.0,30,15.427895219397017,15.427895219397017,0.0
bucket_as_feature,0.02,0,15.239873596774697,15.427895219397017,0.1880216226223208
bucket_as_feature,0.02,10,15.405376101769178,15.427895219397017,0.02251911762783898
bucket_as_feature,0.02,20,15.392566507562682,15.427895219397017,0.03532871183433528
bucket_as_feature,0.02,30,15.38190897544946,15.427895219397017,0.045986243947558236
bucket_as_feature,0.05,0,14.959840533984675,15.427895219397017,0.4680546854123424
bucket_as_feature,0.05,10,15.371597525033712,15.427895219397017,0.05629769436330534
bucket_as_feature,0.05,20,15.339562151066824,15.427895219397017,0.0883330683301935
bucket_as_feature,0.05,30,15.313041528976221,15.427895219397017,0.11485369042079618
bucket_as_feature,0.1,0,14.490617273163725,15.427895219397017,0.9372779462332925
bucket_as_feature,0.1,10,15.316085279900394,15.427895219397017,0.11180993949662366
bucket_as_feature,0.1,20,15.252723865121636,15.427895219397017,0.17517135427538122
bucket_as_feature,0.1,30,15.200766344670457,15.427895219397017,0.22712887472656007
