epoch,train_loss,train_smape,train_delta_mae,train_residual_mae,train_smoothness,val_smape_floor50,val_delta_mae,val_rt_mae,lr,epoch_time_s
1,44.068413416544594,20.049255688985188,65.63396263122559,65.62946192423503,0.028213197831064463,31.192813873291016,100.08329772949219,100.08782958984375,0.0009938503261272714,2.1
2,43.982734044392906,20.002234141031902,65.54850482940674,65.54801273345947,0.035622632751862206,31.176525115966797,100.01888275146484,99.99915313720703,0.0009755527298894295,2.1
3,44.17580763498942,20.052422841389973,65.84581311543782,65.84098084767659,0.04903468241294225,31.180641174316406,100.0322036743164,100.02767181396484,0.0009455577588320899,2.2
4,44.086422284444176,20.08279053370158,65.73005898793538,65.72350374857585,0.06367145540813605,31.187271118164062,100.04851531982422,100.06578063964844,0.0009046039886902865,2.4
5,44.205427487691246,20.08076349894206,65.81921354929607,65.80769348144531,0.07574134195844333,31.202733993530273,100.09733581542969,100.1313705444336,0.0008536998372026806,2.2
6,44.211883544921875,20.123777866363525,65.96063486735027,65.94588724772136,0.08269820796946685,31.25311851501465,100.24725341796875,100.38245391845703,0.0007940987335200905,2.0
7,44.46303017934164,20.21877892812093,66.28407446543376,66.27488295237224,0.09005200614531834,31.221715927124023,100.09757232666016,100.1956787109375,0.0007272682546199038,2.1
