business_day,hour_business,ds,deviation_up_prob,deviation_down_prob,deviation_large_abs_prob,deviation_risk_score,spike_prob,extreme_spike_prob,spike_risk_score,negative_prob,deep_negative_prob,negative_risk_score,risk_feature_version,metric_alignment_status
2026-01-31,24,2026-02-01 00:00:00,0.0063768903390014,0.0092663142459475,0.0143107295132667,0.0006453862192213,0.0114678391375048,0.002096350148978,0.0058872640811232,0.0087067982424342,9.659195985950268e-05,0.0148622946177928,v1.0.0,PASS
2026-02-01,1,2026-02-01 01:00:00,0.0073983549979626,0.0095205478811313,0.0061378995155436,0.000398819815007,0.0132902949433857,0.0025105668913059,0.0070120119888241,0.0183182908655571,0.0001048480422046,0.0429432167836648,v1.0.0,PASS
2026-02-01,2,2026-02-01 02:00:00,0.005703702325271,0.0166757738809152,0.008329463653938,0.0009854606951872,0.0116424819439009,0.0017523825341404,0.0071198125888618,0.1185314458589473,0.0001048479483908,0.1381534385074109,v1.0.0,PASS
2026-02-01,3,2026-02-01 03:00:00,0.0045127554380867,0.0165187208078902,0.008523960406932,0.0009605077001148,0.0185666836524071,0.0017050086760578,0.0082642349195788,0.0172218564974137,0.0001048479483908,0.0749899382811899,v1.0.0,PASS
2026-02-01,4,2026-02-01 04:00:00,0.0060064634687575,0.020646149675697,0.0110916838761583,0.0011026647883257,0.007997599766125,0.0171140720965947,0.0111839395266387,0.1215736793355721,0.0001048479483908,0.1377468970842041,v1.0.0,PASS
2026-02-01,5,2026-02-01 05:00:00,0.0056750759335014,0.0433535713935182,0.015880897595895,0.0030179643068547,0.0205289464206628,0.0058153987329748,0.010989917812331,0.0686316903977248,0.0001048479483908,0.0982095811898591,v1.0.0,PASS
2026-02-01,6,2026-02-01 06:00:00,0.009998118917139,0.0534418731736998,0.0284452856214337,0.0032963819478693,0.010837887070877,0.0076290617515188,0.0089947480805504,0.118819247379757,0.0001048479483908,0.1015217557224087,v1.0.0,PASS
2026-02-01,7,2026-02-01 07:00:00,0.0111973632603951,0.0845401821309753,0.0716692945472341,0.0073262890514712,0.0116718219150594,0.003850043865613,0.0087585190309121,0.1533952006766148,0.0001048479483908,0.2081304168597523,v1.0.0,PASS
2026-02-01,8,2026-02-01 08:00:00,0.0047413863130505,0.075233014014366,0.0392297688015292,0.0034046817689313,0.010626864608763,0.0044234893925125,0.0086941860221117,0.0590912285775898,0.0001048479483908,0.0719160064942427,v1.0.0,PASS
2026-02-01,9,2026-02-01 09:00:00,0.0121708794449565,0.4222486597995446,0.1561659979744041,0.1437690870828811,0.0149129488309347,0.004105348035037,0.0139899002457256,0.0627520669347,0.0001048479483908,0.0664084087355602,v1.0.0,PASS
2026-02-01,10,2026-02-01 10:00:00,0.0355966951043861,0.7034773017941566,0.4427840702618843,0.2920120940192059,0.0029280088764295,0.0004957914198912,0.0304045282123769,0.5529495502595712,9.574603200558852e-05,0.1976174028703836,v1.0.0,PASS
2026-02-01,11,2026-02-01 11:00:00,0.0419931936040752,7.685011934356878e-05,0.0700732500656375,0.0043622303552566,0.0011681738333621,0.0001895511590588,0.0507862357160604,0.7104829626597818,9.573196540855408e-05,0.2131846089991867,v1.0.0,PASS
2026-02-01,12,2026-02-01 12:00:00,0.020411121878418,0.0001296651063773,0.0349373123705966,0.0016250098932779,0.0078459336482742,0.0002074510212808,0.0204430477170002,0.7568865771458094,0.001521423808723,0.2276782082922907,v1.0.0,PASS
2026-02-01,13,2026-02-01 13:00:00,0.029840440942164,0.0002131409510789,0.0517542520263907,0.001520844869127,0.0066226561782895,0.0001898501762954,0.0192704705346552,0.8268254080089785,9.147800360793035e-05,0.2480877440223356,v1.0.0,PASS
2026-02-01,14,2026-02-01 14:00:00,0.1119299267973374,0.0002152454626262,0.1403442876811524,0.0091147352195787,0.0015118743287437,0.0002112758116019,0.0169055062461597,0.652172993988952,6.36548644367682e-05,0.195681334793395,v1.0.0,PASS
2026-02-01,15,2026-02-01 15:00:00,0.1845318658873997,0.0001081107071288,0.1747937063860702,0.0021951980246795,0.0025121792451765,0.0002220116922774,0.0268514582353522,0.5083733235160882,0.0001046554563784,0.1525571514188106,v1.0.0,PASS
2026-02-01,16,2026-02-01 16:00:00,0.1260837552463688,0.1977161407302904,0.2717463786152613,0.0093177697519453,0.0029040842803212,0.0036962613753383,0.0231747434318074,0.0740688186292797,9.870831016703771e-05,0.0797787734536392,v1.0.0,PASS
2026-02-01,17,2026-02-01 17:00:00,0.0210892529241415,0.1108575561075199,0.0176216808113309,0.0129845269877125,0.0238358565587435,0.0018873084807438,0.0109475659314025,0.0021020032324258,9.870831016703771e-05,0.0060098018345953,v1.0.0,PASS
2026-02-01,18,2026-02-01 18:00:00,0.0149755376852169,0.019198173935602,0.0106727087492563,0.0013065384744265,0.0190291991032638,0.0018724998033025,0.010150234024527,0.0028744549806805,9.870831016703771e-05,0.0114010925727619,v1.0.0,PASS
2026-02-01,19,2026-02-01 19:00:00,0.0112159112702555,0.0091305419537676,0.0090342708063135,0.0003926452117227,0.0172883520456157,0.0010300810314059,0.0081617907550535,0.0042232118636841,9.870831016703771e-05,0.0060585996297534,v1.0.0,PASS
