MAE,RMSE,sMAPE_floor50,sMAPE_1_8,sMAPE_9_16,sMAPE_17_24,spike_sMAPE_floor50,negative_sMAPE_floor50,normal_count,spike_count,negative_count,nan_count,failed_days,missing_hour_count,month
52.695365079082144,86.41530869983963,31.382901100454678,18.838587257012662,57.48261629782293,17.827499746528435,18.47080993627297,94.68710290268223,620,17,107,0,0,0,2025-01
49.075485865712345,85.40897893800549,28.58528794600058,33.844136643894444,37.140900115121,14.770827078986287,11.74559205458294,39.64319241914923,447,60,165,0,0,0,2025-02
61.47491115186164,106.99642426912357,33.357131643121704,34.371496526293136,45.154899916590026,20.544998486481955,21.742547572499735,38.21516564951495,505,53,186,0,0,0,2025-03
55.69786293202969,103.23264900435869,30.14636576409004,27.160786529568163,42.59506421453873,20.68324654816322,15.382373135160943,41.97797963488537,385,93,242,0,0,0,2025-04
59.82210447467223,99.93583719924635,32.524467148589174,22.707393663443643,58.793581783382194,16.07242599894168,17.776155623038097,51.92477263644957,441,105,198,0,0,0,2025-05
55.62614467501309,92.49573928439332,33.18798833673559,18.615379695130844,68.74203499204626,12.20655032302966,15.944635395938915,73.84344193167556,521,46,153,0,0,0,2025-06
52.51666167811681,84.23356482189068,23.863936118080932,11.31252153533861,49.97881416237571,10.300472656528475,13.924833052170111,131.66489770918466,646,74,24,0,0,0,2025-07
58.05955102393705,94.2248837581819,17.365818389253533,7.976816494411596,26.72625609149803,17.394382581850977,27.183746140805667,79.5173578461691,683,49,12,0,0,0,2025-08
54.33788155110346,89.43447199129396,21.321140241871618,8.115479754488875,45.554815908172685,10.293125062953296,28.91480339533614,51.99007107111211,639,27,54,0,0,0,2025-09
69.14681860946327,117.41609771297915,18.9307513251076,7.01554294104654,34.236472179506755,15.540238854769504,32.98833094015633,49.840987797023296,680,32,32,0,0,0,2025-10
54.407037776862246,92.87411347436256,32.86124898733056,18.310382151094267,60.809170220666935,19.464194590230484,20.33776529581754,75.58521014998558,570,14,136,0,0,0,2025-11
64.68892799139535,106.13357934609762,38.05837141431532,24.829432196767602,73.19143250561672,16.154249540561622,30.764950194808453,135.0859188193087,640,7,97,0,0,0,2025-12
100.19472970789222,154.87231920362993,51.289422395913036,47.90022319699235,70.59133107715013,35.37671291359663,51.78090401130172,132.05260856150588,536,67,141,0,0,0,2026-01
84.27724907066708,117.84952986691155,58.487197237796444,56.10127466348935,88.42063302390643,30.939684025993532,28.635258957073205,110.09382171093097,441,21,210,0,0,0,2026-02
93.9942148656076,139.385110574932,41.375797135399694,22.883687191851035,84.68637577151696,16.557328442831082,29.851706330277008,92.61355690630907,502,131,111,0,0,0,2026-03
79.39501160348256,131.38289796110817,43.25016089446571,19.182283843414144,92.93602864078655,17.63217019919644,19.826878302289707,106.18855481467445,383,152,185,0,0,0,2026-04
75.03848296902898,109.91145148019893,39.76864383986912,28.414907343122113,71.26284051453302,19.628183661952228,12.689282649236745,91.91040828384284,383,181,180,0,0,0,2026-05
100.01999155455276,155.45914315129266,45.32925546117475,24.127115613816343,94.79940592050065,17.06124484920724,24.076393955079734,99.83910323857185,289,122,69,0,0,0,2026-06
