epoch,train_loss,train_smape,train_delta_mae,train_residual_mae,train_smoothness,val_smape_floor50,val_delta_mae,val_rt_mae,lr,epoch_time_s
1,44.60454559326172,20.28807799021403,66.37938976287842,66.3761380513509,0.02235243221124013,31.590343475341797,100.05400085449219,101.11183166503906,0.0009990143508499217,0.8
2,44.50986830393473,20.328855673472088,66.26565615336101,66.26138814290364,0.03859313934420546,31.64313507080078,100.01516723632812,101.29065704345703,0.0009960612933065818,0.7
3,44.48852125803629,20.214437166849773,66.36543464660645,66.35685284932454,0.04049981230249008,31.688894271850586,99.99131774902344,101.44434356689453,0.00099115248173898,0.7
4,43.96955172220866,19.992918650309246,65.52857303619385,65.51340579986572,0.07775538818289836,31.805633544921875,100.05489349365234,101.80635070800781,0.0009843072889837512,0.7
5,44.21569633483887,20.081700166066486,65.79816277821858,65.77006308237712,0.09650137275457382,32.036643981933594,100.04380798339844,102.38105010986328,0.0009755527298894294,0.7
6,44.00587876637777,19.964916388193767,65.63781865437825,65.57541688283284,0.09551242738962173,32.31911849975586,100.13397216796875,103.1583251953125,0.0009649233547011816,0.7
7,44.391699155171715,20.14843527475993,66.1941687266032,66.12664413452148,0.12859738866488138,32.372962951660156,100.1983413696289,103.36217498779297,0.0009524611127067769,0.7
8,44.02584266662598,19.961006323496502,65.63928604125977,65.60412883758545,0.13721206970512867,32.459556579589844,99.92024230957031,103.302001953125,0.0009382151866819099,0.9
9,43.98765309651693,19.982943375905354,65.55514335632324,65.5194714864095,0.11033826321363449,32.476844787597656,99.92298126220703,103.2812271118164,0.0009222417987882566,0.8
10,44.193429946899414,20.129723230997723,65.84081713358562,65.77018578847249,0.10370463629563649,32.62626647949219,100.18135833740234,104.01229858398438,0.0009046039886902864,0.8
11,44.382554372151695,20.14117177327474,66.18951829274495,66.10972627003987,0.11173944423596065,32.631591796875,99.91372680664062,103.77835083007812,0.0008853713647665069,0.9
