feature,spike_importance,extreme_spike_importance,relative_spike_importance,mean_importance
da_anchor,0.14978197053039582,0.009142987431242288,0.0019038390287001716,0.053609598996779424
lagged_price_delta_24h,0.007256248753099381,0.002399749194858458,0.0014763302647704756,0.0037107760709094387
previous_day_price_delta_std,0.00511300481659871,0.0027873571408213228,0.0017271354062758705,0.003209165787898634
previous_day_price_delta_mean,0.003363068942913294,0.002525151765611122,0.0007866161256306015,0.002224945611385006
lagged_price_delta_48h,0.0027702567902641697,0.0018810385612904712,0.0010089206828740593,0.0018867386781429001
hour_cos,0.003687975603499827,0.0005415111009775319,0.000809416593040213,0.001679634432505857
hour_sin,0.00151053096588476,0.0010944224356598474,0.00048450993245368056,0.0010298211113327627
period_id,0.002029241599452769,0.00017670362242423466,0.0005757118020919938,0.0009272190079896659
